model,trial,truth_sine_covariance,rb_normalized_estimate,ramsey_estimate
rtn,170,0.38330514232627905,0.4646957277312992,0.42570147176427164
rtn,171,0.38330514232627905,0.46111435777559057,0.41124719334399606
rtn,172,0.38330514232627905,0.3715455062746063,0.35290142870324803
rtn,173,0.38330514232627905,0.42181012010949803,0.41763810285433073
rtn,174,0.38330514232627905,0.4722477469857283,0.4021322896161417
rtn,175,0.38330514232627905,0.40886874461737205,0.3722423643577756
rtn,176,0.38330514232627905,0.36572794275959647,0.38431098517470474
rtn,177,0.38330514232627905,0.4567155011995571,0.3816446619709646
rtn,178,0.38330514232627905,0.3949455201156496,0.3837429256889764
rtn,179,0.38330514232627905,0.5245171494371309,0.4062663401205709
rtn,180,0.38330514232627905,0.5776472917691929,0.3879577156126969
rtn,181,0.38330514232627905,0.3346439872201033,0.42163951002706695
rtn,182,0.38330514232627905,0.38651762233944387,0.364504836675689
rtn,183,0.38330514232627905,0.36801820289431597,0.3908297320989173
rtn,184,0.38330514232627905,0.41733340766486215,0.3723355991633858
rtn,185,0.38330514232627905,0.25966229776697836,0.319704070804626
rtn,186,0.38330514232627905,0.42645984559547245,0.4076619786540354
rtn,187,0.38330514232627905,0.47681096595103345,0.40848090704970474
rtn,188,0.38330514232627905,0.38712100532111215,0.39603165754183073
rtn,189,0.38330514232627905,0.33269759050504427,0.36714424673966534
rtn,190,0.38330514232627905,0.442441925289124,0.3801548274483268
rtn,191,0.38330514232627905,0.403803787832185,0.42744986466535434
rtn,192,0.38330514232627905,0.49527362012487697,0.41571669691190943
rtn,193,0.38330514232627905,0.42025516540046753,0.4534066267839567
rtn,194,0.38330514232627905,0.3981527493694636,0.41237562284694884
rtn,195,0.38330514232627905,0.505185104730561,0.3679064653051181
rtn,196,0.38330514232627905,0.4264360563022884,0.4074918491633858
rtn,197,0.38330514232627905,0.3206991360882136,0.32640832615649606
rtn,198,0.38330514232627905,0.3124269500492126,0.42053895484744097
rtn,199,0.38330514232627905,0.3691298116849163,0.4036144346702756
reset,0,0.0,-0.021687184731791338,-0.019643708476870077
reset,1,0.0,0.06276480607160433,0.08662762979822834
reset,2,0.0,-0.05538147453248032,-0.026381605253444882
reset,3,0.0,0.11107004721333662,0.060321958046259845
reset,4,0.0,-0.11270718311700295,-0.03250242218257874
reset,5,0.0,-0.03456800565944882,0.021205631766732284
reset,6,0.0,0.18759587806040845,0.10139429287647637
reset,7,0.0,0.05434339628444882,-0.04595130259596457
reset,8,0.0,0.06105630228838582,0.017426257997047244
reset,9,0.0,0.1573921263687254,0.042414147084153545
reset,10,0.0,0.12155031219242125,0.02141516978346457
reset,11,0.0,0.04827496385949803,0.012538639579232283
reset,12,0.0,0.04356252114603839,0.06162340059055118
reset,13,0.0,0.032308022806963585,0.04340224378690945
reset,14,0.0,0.1362975113035187,0.09825698972687008
reset,15,0.0,-0.11617825725885828,0.004529096948818898
reset,16,0.0,-0.03870734267347441,-0.009387879859744094
reset,17,0.0,0.16961333507627951,0.07031057763287402
reset,18,0.0,-0.14183392862635336,0.019141009473425195
reset,19,0.0,0.07164253775529035,0.016998531311515748
reset,20,0.0,-0.05836594949557086,-0.020817313607283464
reset,21,0.0,-0.03237074003444882,-0.05101673997293307
reset,22,0.0,0.01852753406434547,0.10377898929625984
reset,23,0.0,0.08042511226624015,-0.00021530511811023622
reset,24,0.0,-0.08490182471087598,0.04074937715305118
reset,25,0.0,-0.027558814822219488,0.0016234390378937007
reset,26,0.0,-0.03073576679379921,-0.005554679810531496
reset,27,0.0,0.04221734474963091,-0.0002104992002952756
reset,28,0.0,-0.005525604007750985,-0.06125622846948819
reset,29,0.0,0.07516984113558071,0.030394546628937008
reset,30,0.0,0.08074951171875,-0.04214117095226378
reset,31,0.0,0.03243778258796752,0.019179456815944882
reset,32,0.0,-0.004279910110113189,0.013021153727854331
reset,33,0.0,-0.07848087821419783,-0.0687755674827756
reset,34,0.0,-0.00045415923351377775,0.016268992987204724
reset,35,0.0,-0.0588438980222687,0.03674700879675197
reset,36,0.0,0.12518142339751476,0.010627806656003937
reset,37,0.0,-0.02886506328432579,0.07239442359744094
reset,38,0.0,-0.08315223033033957,-0.07911598025344488
reset,39,0.0,0.1233496478223425,0.07953890102116142
reset,40,0.0,0.06861480953186516,-0.020441490834153545
reset,41,0.0,-0.0797849640132874,0.0005055825541338582
reset,42,0.0,0.07892206146961121,0.04238531157726378
reset,43,0.0,-0.014204370693897638,-0.03342131366879921
reset,44,0.0,0.06414242241326279,0.0367431640625
reset,45,0.0,-0.06656676765501969,-0.025014802226870077
reset,46,0.0,-0.011656753660187008,-0.04905592550442913
reset,47,0.0,-0.10320876714751476,-0.04545052595964567
reset,48,0.0,0.002657912847563976,-0.061806986651082675
reset,49,0.0,0.07590947188730315,-0.023204893577755906
reset,50,0.0,0.06610828309547244,0.05408291553887795
reset,51,0.0,-0.018895186777189963,-0.041946050688976375
reset,52,0.0,-0.15747647022637795,-0.07130348025344488
reset,53,0.0,-0.11925356406865158,-0.041836475762795276
reset,54,0.0,-0.03719780388779527,0.009293683870570866
reset,55,0.0,-0.011565921813484252,0.010840228223425197
reset,56,0.0,0.00011462113988681102,0.03177096149114173
reset,57,0.0,-0.09592059278112697,-0.038115734190452756
reset,58,0.0,0.01298462875246063,0.00018646961122047243
reset,59,0.0,0.009416234774852362,0.033837506151574805
